23.64,0,66.01,255
41.42,0,104.46,255
67.15,0,161.35,255
93.56,0,218.4,255
111.62,0,255,255
112.54,0,255,255
96.3,0,255,255
51.05,0,255,255
15.73,21.86,255,255
0,63.87,240.94,255
0,112.58,202.28,255
0,142.35,161.5,255
0,171.15,125.4,255
0,201.35,85.96,255
0,229.89,40.55,255
0,250.98,0,255
0,254.87,0,255
0,255,0,255
0,255,0,255
60.09,253.64,0,255
164.89,246.86,0,255
226.18,228.65,0,255
250.2,202.43,0,255
255,168.74,0,255
255,126.84,0,255
255,69.82,0,255
255,0,0,255
255,0,0,255
255,0,0,255
248.39,0,0,255
227.94,0,0,255
192.61,0,0,255
158.06,0,0,255
125.98,0,0,255
99.48,0,0,255
76.69,0,0,255
56.93,0,0,255
41.88,0,0,255
